Name,Birth Country,Birth Decade,Birth Year,Gender,Latitude,Longitude,Tate URL
"Gris, Juan",España,1/1/1880,1/1/1887,Male,40.4168,-3.70379,http://www.tate.org.uk/art/artists/juan-gris-1221
"Miró, Joan",España,1/1/1890,1/1/1893,Male,41.2974,2.08329,http://www.tate.org.uk/art/artists/joan-miro-1646
"Oliver, Isaac",France,1/1/1560,1/1/1560,Male,49.4432,1.09997,http://www.tate.org.uk/art/artists/isaac-oliver-2445
"Angellis, Peter",France,1/1/1680,1/1/1685,Male,51.0344,2.37678,http://www.tate.org.uk/art/artists/peter-angellis-9
"Gravelot, Hubert François",France,1/1/1690,1/1/1699,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/hubert-francois-gravelot-2498
"Serres, Dominic",France,1/1/1720,1/1/1722,Male,43.6464,0.586709,http://www.tate.org.uk/art/artists/dominic-serres-485
"Francia, François Louis Thomas",France,1/1/1770,1/1/1772,Male,50.9513,1.85869,http://www.tate.org.uk/art/artists/francois-louis-thomas-francia-2565
"Waterford, Louisa Anne, Marchioness of",France,1/1/1810,1/1/1818,Female,48.8566,2.35222,http://www.tate.org.uk/art/artists/louisa-anne-marchioness-of-waterford-582
"Brown, Ford Madox",France,1/1/1820,1/1/1821,Male,50.9513,1.85869,http://www.tate.org.uk/art/artists/ford-madox-brown-65
"Manet, Edouard",France,1/1/1830,1/1/1832,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/edouard-manet-1567
"Calderon, Philip Hermogenes",France,1/1/1830,1/1/1833,Male,46.5802,0.340375,http://www.tate.org.uk/art/artists/philip-hermogenes-calderon-77
"Vollon, Antoine",France,1/1/1830,1/1/1833,Male,45.764,4.83566,http://www.tate.org.uk/art/artists/antoine-vollon-2110
"Degas, Edgar",France,1/1/1830,1/1/1834,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/edgar-degas-988
"Fantin-Latour, Henri",France,1/1/1830,1/1/1836,Male,45.1885,5.72452,http://www.tate.org.uk/art/artists/henri-fantin-latour-1079
"Poynter, Sir Edward",France,1/1/1830,1/1/1836,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/sir-edward-poynter-433
"Tissot, James",France,1/1/1830,1/1/1836,Male,47.2184,-1.55362,http://www.tate.org.uk/art/artists/james-tissot-2048
"Legros, Alphonse",France,1/1/1830,1/1/1837,Male,47.322,5.04148,http://www.tate.org.uk/art/artists/alphonse-legros-341
"Dalou, Jules",France,1/1/1830,1/1/1838,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/jules-dalou-973
"Sisley, Alfred",France,1/1/1830,1/1/1839,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/alfred-sisley-1948
"Cézanne, Paul",France,1/1/1830,1/1/1839,Male,43.5297,5.44743,http://www.tate.org.uk/art/artists/paul-cezanne-879
